node_id,node
581,2000100060026_6279	
582,2000100060026_6918141	
583,2000100060026_6918182	
584,2000100060026_6918446	
585,2000100060026_9290	
586,2000100060026_9677	
587,2000200040006_10152654	
588,2000200040006_10201696	
589,2000200040006_10313457	
590,2000200040006_10345214	
591,2000200040006_130956	
592,2000200040006_13109	
593,2000200040006_13388558	
594,2000200040006_154257	
595,2000200040006_16750192	
596,2000200040006_176405	
597,2000200040006_179337	
598,2000200040006_2088	
599,2000200040006_216416	
600,2000200040006_223368	
601,2000200040006_25022354	
602,2000200040006_3001028	
603,2000200040006_44137686	
604,2000200040006_444008	
605,2000200040006_5035	
606,2000200040006_5280795	
607,2000200040006_5280933	
608,2000200040006_5282367	
609,2000200040006_5283731	
610,2000200040006_57398987	
611,2000200040006_5757	
612,2000200040006_5870	
613,2000200040006_5878	
614,2000200040006_5881	
615,2000200040006_5991	
616,2000200040006_60852	
617,2000200040006_6230	
618,2000200040006_6279	
619,2000200040006_68873	
620,2000200040006_6918141	
621,2000200040006_6918182	
622,2000200040006_6918446	
623,2000200040006_6918602	
624,2000200040006_9290	
625,2000200040006_9677	
626,2000200040010_10152654	
627,2000200040010_10201696	
628,2000200040010_10313457	
629,2000200040010_10345214	
630,2000200040010_130956	
631,2000200040010_13109	
632,2000200040010_13388558	
633,2000200040010_154257	
634,2000200040010_16750192	
635,2000200040010_176405	
636,2000200040010_179337	
637,2000200040010_2088	
638,2000200040010_216416	
639,2000200040010_223368	
640,2000200040010_25022354	
641,2000200040010_3001028	
642,2000200040010_44137686	
643,2000200040010_444008	
644,2000200040010_5035	
645,2000200040010_5280795	
646,2000200040010_5280933	
647,2000200040010_5282367	
648,2000200040010_5283731	
649,2000200040010_57398987	
650,2000200040010_5757	
651,2000200040010_5870	
652,2000200040010_5878	
653,2000200040010_5881	
654,2000200040010_5991	
655,2000200040010_60852	
656,2000200040010_6230	
657,2000200040010_6279	
658,2000200040010_68873	
659,2000200040010_6918141	
660,2000200040010_6918182	
661,2000200040010_6918446	
662,2000200040010_6918602	
663,2000200040010_9290	
664,2000200040010_9677	
665,2000700120017_10152654	
666,2000700120017_10201696	
667,2000700120017_10313457	
668,2000700120017_10345214	
669,2000700120017_130956	
670,2000700120017_13109	
671,2000700120017_13388558	
672,2000700120017_154257	
673,2000700120017_16750192	
674,2000700120017_176405	
675,2000700120017_179337	
676,2000700120017_2088	
677,2000700120017_216416	
678,2000700120017_223368	
679,2000700120017_25022354	
680,2000700120017_3001028	
681,2000700120017_44137686	
682,2000700120017_444008	
683,2000700120017_5035	
684,2000700120017_5280795	
685,2000700120017_5280933	
686,2000700120017_5282367	
687,2000700120017_5283731	
688,2000700120017_57398987	
689,2000700120017_5757	
690,2000700120017_5870	
691,2000700120017_5878	
692,2000700120017_5881	
693,2000700120017_5991	
694,2000700120017_60852	
695,2000700120017_6230	
696,2000700120017_6279	
697,2000700120017_68873	
698,2000700120017_6918141	
699,2000700120017_6918182	
700,2000700120017_6918446	
701,2000700120017_6918602	
702,2000700120017_9290	
703,2000700120017_9677	
704,2000800060016_10152654	
705,2000800060016_10201696	
706,2000800060016_10313457	
707,2000800060016_10345214	
708,2000800060016_130956	
709,2000800060016_13109	
710,2000800060016_13388558	
711,2000800060016_154257	
712,2000800060016_16750192	
713,2000800060016_176405	
714,2000800060016_179337	
715,2000800060016_2088	
716,2000800060016_216416	
717,2000800060016_223368	
718,2000800060016_25022354	
719,2000800060016_3001028	
720,2000800060016_44137686	
721,2000800060016_444008	
722,2000800060016_5035	
723,2000800060016_5280795	
724,2000800060016_5280933	
725,2000800060016_5282367	
726,2000800060016_5283731	
727,2000800060016_57398987	
728,2000800060016_5757	
729,2000800060016_5870	
730,2000800060016_5878	
731,2000800060016_5881	
732,2000800060016_5991	
733,2000800060016_60852	
734,2000800060016_6230	
735,2000800060016_6279	
736,2000800060016_68873	
737,2000800060016_6918141	
738,2000800060016_6918182	
739,2000800060016_6918446	
740,2000800060016_6918602	
741,2000800060016_9290	
742,2000800060016_9677	
743,2001600100012_10152654	
744,2001600100012_10201696	
745,2001600100012_10313457	
746,2001600100012_10345214	
747,2001600100012_130956	
748,2001600100012_13109	
749,2001600100012_13388558	
750,2001600100012_154257	
751,2001600100012_16750192	
752,2001600100012_176405	
753,2001600100012_179337	
754,2001600100012_2088	
755,2001600100012_216416	
756,2001600100012_223368	
757,2001600100012_25022354	
758,2001600100012_3001028	
759,2001600100012_44137686	
760,2001600100012_444008	
761,2001600100012_5035	
762,2001600100012_5280795	
763,2001600100012_5280933	
764,2001600100012_5282367	
765,2001600100012_5283731	
766,2001600100012_57398987	
767,2001600100012_5757	
768,2001600100012_5870	
769,2001600100012_5878	
